year,country,us_prop_fav,china_prop_fav
2001,Argentina,0.5950334288443171,0.640251572327044
2001,Bolivia,0.7970085470085471,0.7967479674796748
2001,Brazil,0.8191747572815534,0.6595441595441596
2001,Chile,0.7925581395348837,0.7435897435897436
2001,Colombia,0.8764822134387352,0.8315363881401617
2001,Costa Rica,0.9441860465116279,0.8328445747800587
2001,Ecuador,0.8782771535580525,0.8356481481481481
2001,El Salvador,0.932648401826484,0.8825174825174825
2001,Guatemala,0.8863892013498312,0.849931787175989
2001,Honduras,0.9179978700745474,0.9098984771573604
2001,Mexico,0.7475409836065574,0.8146853146853147
2001,Nicaragua,0.9281997918834547,0.8314977973568282
2001,Panama,0.8110749185667753,0.5975903614457831
2001,Paraguay,0.8494623655913979,0.897029702970297
2001,Peru,0.8594847775175644,0.6565656565656566
2001,Uruguay,0.683643486777669,0.68375
2001,Venezuela,0.7756286266924565,0.7862281603288798
2002,Argentina,0.4174843889384478,0.6702127659574468
2002,Bolivia,0.6460481099656358,0.7875816993464052
2002,Brazil,0.5931642778390298,0.6797297297297298
2002,Chile,0.7388591800356507,0.7762096774193549
2002,Colombia,0.8788159111933395,0.8567741935483871
2002,Costa Rica,0.9086021505376344,0.8709677419354839
2002,Ecuador,0.8916382252559727,0.8722334004024145
2002,El Salvador,0.9209401709401709,0.875945537065053
2002,Guatemala,0.8693790149892934,0.7874617737003058
2002,Honduras,0.9372384937238494,0.863031914893617
2002,Mexico,0.6444256756756757,0.73224043715847
2002,Nicaragua,0.8973821989528796,0.7837837837837838
2002,Panama,0.9574468085106383,0.7104247104247104
2002,Paraguay,0.7244367417677643,0.8392484342379958
2002,Peru,0.8290293855743545,0.747086247086247
2002,Uruguay,0.5750736015701668,0.6917808219178082
2002,Venezuela,0.7704315886134068,0.6839872746553552
2003,Argentina,0.3257713248638838,0.6948640483383686
2003,Bolivia,0.5364298724954463,0.75
2003,Brazil,0.546112115732369,0.7092511013215859
2003,Chile,0.6035398230088496,0.6825232678386763
2003,Colombia,0.7604735883424408,0.744807121661721
2003,Costa Rica,0.8134328358208955,0.7808441558441559
2003,Ecuador,0.7092013888888888,0.7070393374741201
2003,El Salvador,0.8817204301075269,0.7504553734061931
2003,Guatemala,0.8580097087378641,0.7825342465753424
2003,Honduras,0.8716861081654295,0.8825448613376835
2003,Mexico,0.4191363251481795,0.6790243902439025
