year,country,fav_us,fav_china,corruption,aid_china,aid_us,vote_china,vote_us
2005,Venezuela,2.574223245109321,1.9781357882623705,,0.0,223448.149,0.9189189,0.06756757
2006,Argentina,3.032258064516129,2.21245828698554,-0.331238538,0.0,812024.121,0.8333333,0.173913
2006,Bolivia,2.4575371549893843,2.127388535031847,-0.431123644,0.0,1433658.4049999998,0.8705882,0.09195402
2006,Chile,2.170684667309547,1.9758919961427197,1.412561893,0.0,80284.867,0.8333333,0.173913
2006,Colombia,2.1693811074918568,2.0825190010857764,-0.175137788,1138.25090550422,7736475.715,0.7865169,0.05555556
2006,Costa Rica,1.9525,2.02625,0.378651321,0.0,0.0,0.8444444,0.1086957
2006,Ecuador,2.291925465838509,2.243271221532091,-0.784096122,4604329.17056858,708800.664,0.8777778,0.1413043
2006,El Salvador,1.8212209302325584,2.1584302325581395,-0.335918337,0.0,1482402.811,0.8470588,0.1494253
2006,Guatemala,2.0849056603773586,2.087601078167116,-0.837902725,0.0,531027.0680000001,0.8295455,0.1777778
2006,Honduras,1.911137440758294,1.8649289099526067,-0.833331823,0.0,34407.801,0.8222222,0.173913
2006,Nicaragua,1.8510882016036656,2.0103092783505154,-0.673504472,0.0,108275619.66,0.8117647,0.1609195
2006,Paraguay,2.3307262569832403,1.9597765363128488,-1.16153121,0.0,133043.5,0.8777778,0.1630435
2006,Uruguay,2.3642533936651584,2.1119909502262444,1.130043507,0.0,0.0,0.8314607,0.1428571
2006,Venezuela,2.813039309683605,1.8235858101629916,,1466086015.56468,272968.551,0.9444444,0.05434783
2007,Argentina,2.784119106699752,2.286600496277916,-0.372122079,141310244.2230235,1019589.258,0.8076923,0.1392405
2007,Bolivia,2.384460141271443,2.1352169525731584,-0.402193725,4063028.53647126,5586996.375,0.8852459,0.0483871
2007,Chile,2.3560371517027865,2.1259029927760578,1.345149994,0.0,3238.3794,0.8076923,0.1265823
2007,Colombia,2.1693811074918568,2.1737242128121608,-0.279160351,0.0,10160235.923,0.7820513,0.03797468
2007,Costa Rica,2.2317241379310344,2.1944827586206896,0.457115024,0.0,76949.476,0.8717949,0.1265823
2007,Ecuador,2.161217587373168,2.2130777903043968,-0.74563235,0.0,583841.855,0.8589744,0.06329114
2007,El Salvador,1.8527918781725887,2.0406091370558377,-0.423062176,0.0,578198.13,0.8533333,0.1184211
2007,Guatemala,2.0874233128834354,2.165644171779141,-0.769333959,0.0,1110294.00777,0.8333333,0.07594937
2007,Honduras,1.9142857142857144,1.877018633540373,-0.791543305,0.0,887859.8028,0.8717949,0.1265823
2007,Nicaragua,1.87875,1.97,-0.767759442,0.0,1622438.14,0.9230769,0.05063291
2007,Paraguay,2.332880434782609,2.042119565217391,-1.211035728,0.0,72584.364,0.8529412,0.115942
2007,Uruguay,2.437939110070257,2.2248243559718968,1.280935764,80447.965022131,0.0,0.8333333,0.1012658
2007,Venezuela,2.494979919678715,1.983935742971888,,0.0,0.0,0.9230769,0.03797468
2008,Argentina,2.105813953488372,2.218604651162791,-0.434875011,0.0,379819.954,0.7702703,0.1578947
2008,Bolivia,2.0569105691056917,2.1846689895470384,-0.528391659,713300.85999443,710146.096,0.8333333,0.05405405
2008,Chile,2.0282828282828285,2.16969696969697,1.317986846,0.0,888731.656,0.7534247,0.16
2008,Colombia,1.9057649667405765,2.0931263858093128,-0.261542618,103281650.201244,5937738.318,0.7260274,0.06666667
2008,Costa Rica,1.9022842639593909,2.238578680203046,0.493208975,18590697.0362239,49481.713,0.7808219,0.1466667
2008,Ecuador,1.925609756097561,2.1853658536585368,-0.654705822,989957.4538438744,233218.649,0.8333333,0.09459459
2008,El Salvador,1.726474278544542,2.190715181932246,-0.411013573,0.0,585024.7032000001,0.7424242,0.1176471
2008,Guatemala,1.9671641791044776,2.170149253731344,-0.666637182,0.0,1021620.739,0.7671233,0.1066667
2008,Honduras,1.7124824684431978,1.94109396914446,-0.915665329,0.0,45970.39,0.7916667,0.1351351
2008,Nicaragua,1.748911465892598,1.9753265602322203,-0.768929601,0.0,15973335.212,0.890411,0.05333333
2008,Paraguay,1.95418098510882,1.9667812142038943,-0.979693532,0.0,87755.676,0.7945205,0.12
2008,Uruguay,2.055068836045056,2.1889862327909886,1.345951676,0.0,0.0,0.7671233,0.12
2008,Venezuela,2.1721721721721723,2.077077077077077,,0.0,223917.211,0.8888889,0.02702703
2009,Argentina,2.2552447552447554,2.1223776223776225,-0.445475101,0.0,348659.16000000003,0.8208955,0.1940299
2009,Bolivia,2.2040586245772267,2.089064261555806,-0.631416976,678357.390690479,782419.443,0.921875,0.09375
2009,Chile,2.011661807580175,2.1000971817298346,1.321234822,0.0,54443.117,0.8235294,0.1764706
2009,Colombia,1.961722488038277,2.147129186602871,-0.337012529,8087084.627086746,16920210.186,0.7761194,0.08955224
2009,Costa Rica,1.8768115942028984,2.108695652173913,0.715470135,142590723.52313837,105840.684,0.8507463,0.1641791
2009,Ecuador,2.0893921334922525,2.246722288438617,-0.744574428,287965.282950389,91309.816,0.8656716,0.07462687
2009,El Salvador,1.6508951406649617,2.00383631713555,-0.230227888,0.0,79718.336,0.8358209,0.119403
2009,Guatemala,2.051094890510949,2.1372262773722626,-0.533482134,0.0,169519.53600000002,0.8088235,0.1323529
2009,Honduras,1.8207934336525309,1.952120383036936,-0.908242762,0.0,323429.151,0.8076923,0.1730769
2009,Nicaragua,1.8469101123595504,1.9101123595505616,-0.727106392,0.0,2257206.256,0.9090909,0.06060606
2009,Paraguay,2.0754257907542577,2.108272506082725,-0.788950503,0.0,129601.837,0.8615385,0.1230769
2009,Uruguay,2.046480743691899,2.208499335989376,1.250004292,1668212.67364364,0.0,0.8333333,0.1515152
2009,Venezuela,2.220820189274448,2.095688748685594,,2021505024.257629,43505.496,0.9117647,0.05882353
2010,Argentina,2.3125683060109288,2.1475409836065573,-0.355230033,595264027.0889649,1151695.8794,0.8059701,0.2089552
2010,Bolivia,2.2544757033248084,2.1457800511508958,-0.458648711,365616508.4885311,16950666.29,0.9047619,0.109375
2010,Chile,2.041431261770245,2.089453860640301,1.441626906,37739.6172808557,107567.77,0.8358209,0.1641791
2010,Colombia,1.9848130841121496,2.147196261682243,-0.423333108,220147767.471658,29573185.335,0.7761194,0.1044776
2010,Costa Rica,1.93757225433526,2.0878612716763008,0.664391637,0.0,351574.515,0.8358209,0.1641791
2010,Ecuador,1.9184123484013231,2.019845644983462,-0.70774436,2530749545.555837,799239.327,0.880597,0.119403
2010,El Salvador,1.899477806788512,2.0966057441253265,-0.258609384,0.0,659132.279,0.828125,0.140625
2010,Guatemala,2.1283987915407856,2.0891238670694863,-0.540784419,0.0,646783.5079999999,0.8208955,0.1343284
2010,Honduras,1.7221570926143024,1.791324736225088,-0.889169753,0.0,985665.027,0.8208955,0.1641791
2010,Nicaragua,2.024390243902439,1.945480631276901,-0.755830348,0.0,3577844.182,0.8787879,0.1212121
2010,Paraguay,2.09305373525557,2.108781127129751,-0.707593381,0.0,777736.515,0.84375,0.1230769
2010,Uruguay,2.132408575031526,2.122320302648172,1.297701478,0.0,53730.106,0.8153846,0.1538462
2010,Venezuela,2.246641074856046,1.9836852207293667,,740954485.947466,50890.313,0.8939394,0.07575758
2011,Argentina,2.445807770961145,2.198364008179959,-0.364098519,222943384.389182,729119.32,0.8088235,0.2941176
2011,Bolivia,2.2214912280701755,2.1184210526315788,-0.573696494,3888142.76402366,4614920.45,0.8088235,0.08823529
2011,Chile,2.204784688995215,2.1464114832535883,1.47659266,11108979.3257819,656664.81,0.8088235,0.2647059
2011,Colombia,2.055612770339856,2.091658084449022,-0.317527682,0.0,76422807.329,0.75,0.2794118
2011,Costa Rica,1.9446327683615816,1.9480225988700568,0.593173563,73729887.99483116,376512.436,0.7941176,0.2941176
2011,Ecuador,1.955182072829132,2.1204481792717087,-0.641708136,2170974011.0318785,421614.66,0.8088235,0.05882353
2011,El Salvador,1.60479797979798,2.0063131313131315,-0.247806415,0.0,4328048.3666,0.7014925,0.2238806
2011,Guatemala,2.131955484896661,2.14308426073132,-0.537248194,0.0,1257044.121,0.8088235,0.2352941
2011,Honduras,1.8342361863488623,1.982665222101842,-0.833935797,0.0,1109942.784,0.761194,0.2985075
2011,Nicaragua,2.0985352862849536,1.9720372836218376,-0.737969637,0.0,608916.972,0.8235294,0.1029412
2011,Paraguay,1.9721115537848608,1.8685258964143423,-0.695635736,0.0,284284.22,0.8461538,0.2153846
2011,Uruguay,2.416267942583732,2.272727272727273,1.289977908,0.0,421509.25,0.8235294,0.2352941
2011,Venezuela,2.2558795860771403,1.9397930385700848,,0.0,0.0,0.8235294,0.08823529
2012,Argentina,,,-0.445909202,2437080597.6779094,803523.196,0.7761194,0.2318841
2012,Bolivia,,,-0.727891862,75649.0812065179,735668.3439999999,0.8507463,0.07246377
2012,Chile,,,1.543591261,0.0,26384.5442,0.7761194,0.2028986
2012,Colombia,,,-0.422298342,0.0,52594446.337,0.6865672,0.1884058
2012,Costa Rica,,,0.570753694,94387859.5749677,269691.429,0.761194,0.2028986
2012,Ecuador,,,-0.508597851,7743103.734160477,816120.495,0.8656716,0.08695652
2012,El Salvador,,,-0.412512779,0.0,1616208.5549,0.6716418,0.1884058
2012,Guatemala,,,-0.678762555,0.0,12824958.034,0.7313433,0.2028986
