year,country,fav_us,fav_china
2001,Argentina,2.3944020356234095,2.3282442748091605
2001,Bolivia,2.0606060606060606,2.0220385674931127
2001,Chile,2.0652849740932644,2.17720207253886
2001,Colombia,1.8472032742155524,1.9822646657571623
2001,Costa Rica,1.7581120943952802,1.9882005899705015
2001,Ecuador,1.8062645011600929,1.902552204176334
2001,El Salvador,1.7899159663865547,1.9187675070028012
2001,Guatemala,1.9753086419753085,2.034293552812071
2001,Honduras,1.789002557544757,1.8388746803069054
2001,Nicaragua,1.7123893805309736,1.9601769911504425
2001,Paraguay,1.939516129032258,1.8044354838709677
2001,Uruguay,2.2848101265822787,2.312658227848101
2001,Venezuela,2.047817047817048,2.044698544698545
2002,Argentina,2.6875,2.324519230769231
2002,Bolivia,2.2728272827282727,2.1166116611661168
2002,Chile,2.179959100204499,2.168711656441718
2002,Colombia,1.7376623376623377,1.905194805194805
2002,Costa Rica,1.8375706214689265,1.9703389830508475
2002,Ecuador,1.739656912209889,1.8657921291624622
2002,El Salvador,1.725341426403642,1.9028831562974204
2002,Guatemala,1.883614088820827,2.0520673813169985
2002,Honduras,1.5815508021390374,1.8622994652406417
2002,Nicaragua,1.779291553133515,2.1049046321525884
2002,Paraguay,2.1957894736842105,1.9936842105263157
2002,Uruguay,2.4295676429567643,2.311018131101813
2002,Venezuela,2.037593984962406,2.1976369495166486
2003,Argentina,2.8427480916030534,2.2503816793893128
2003,Bolivia,2.464922711058264,2.1950059453032105
2003,Chile,2.409375,2.275
2003,Colombia,2.1402985074626866,2.216417910447761
2003,Costa Rica,2.0688524590163935,2.178688524590164
2003,Ecuador,2.193782383419689,2.2310880829015542
2003,El Salvador,1.8275229357798166,2.2091743119266054
2003,Guatemala,1.9445407279029463,2.072790294627383
2003,Honduras,1.7569786535303777,1.8587848932676518
2003,Nicaragua,2.0333839150227617,2.2701062215478
2003,Paraguay,2.517543859649123,2.0219298245614037
2003,Uruguay,2.6284916201117317,2.303072625698324
2003,Venezuela,2.2452431289640593,2.307610993657505
2004,Argentina,2.880890052356021,2.1649214659685865
2004,Bolivia,2.4980340760157276,2.1363040629095673
