satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Not at all satisfied,Very unfavorable,Don’t know (DO NOT READ),Very bad,Argentina,1.36885077615555,6.0,4.0,,4.0
Not too satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Argentina,1.17999858519144,4.0,2.0,2.0,3.0
Very satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Argentina,0.904216892758291,1.0,3.0,2.0,3.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Very bad,Argentina,0.613258601698541,6.0,1.0,3.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Argentina,0.281246035105016,6.0,2.0,3.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Argentina,0.281246035105016,6.0,4.0,4.0,3.0
Not too satisfied,Very favorable,Very favorable,Very bad,Argentina,1.03283939783419,4.0,1.0,1.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Argentina,1.43739526415275,6.0,2.0,2.0,3.0
Not at all satisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Argentina,0.434109164057438,6.0,3.0,,4.0
Somewhat satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very good,Argentina,1.05031946221427,3.0,,,1.0
Very satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Argentina,0.684425388077776,1.0,,,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Argentina,0.960273655853031,3.0,2.0,3.0,3.0
Not at all satisfied,Somewhat favorable,Don’t know (DO NOT READ),Very bad,Argentina,0.537117651467912,6.0,2.0,,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Argentina,1.02534768022788,6.0,4.0,4.0,3.0
Not too satisfied,Very unfavorable,Very favorable,Very bad,Argentina,1.11254695220521,4.0,4.0,1.0,4.0
Not too satisfied,Very unfavorable,Very favorable,Very bad,Argentina,1.39470233604679,4.0,4.0,1.0,4.0
Not at all satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Argentina,0.287123243071504,6.0,3.0,2.0,3.0
Not too satisfied,Somewhat favorable,Very favorable,Somewhat bad,Argentina,1.02332138370328,4.0,2.0,1.0,3.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Argentina,0.662480200028958,4.0,2.0,3.0,4.0
Not at all satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat bad,Argentina,0.903342331375666,6.0,,,3.0
Not at all satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Argentina,1.02285953764917,6.0,,,4.0
Not at all satisfied,Very favorable,Don’t know (DO NOT READ),Very bad,Argentina,1.59980971587854,6.0,1.0,,4.0
Not at all satisfied,Refused (DO NOT READ),Refused (DO NOT READ),Very bad,Argentina,1.53534166043073,6.0,,,4.0
Not at all satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat bad,Argentina,0.807413893500021,6.0,,,3.0
Not too satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat good,Argentina,2.02585012863392,4.0,,,2.0
Not too satisfied,Don’t know (DO NOT READ),Refused (DO NOT READ),Somewhat bad,Argentina,0.412170791102706,4.0,,,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Very bad,Argentina,0.516419698917095,3.0,1.0,3.0,4.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Argentina,0.839873700760357,3.0,3.0,3.0,4.0
Not too satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Argentina,0.411251302210202,4.0,4.0,3.0,3.0
Don’t know (DO NOT READ),Somewhat favorable,Very favorable,Somewhat bad,Argentina,2.74855678477046,,2.0,1.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Argentina,1.21108259631358,3.0,2.0,2.0,3.0
Somewhat satisfied,Somewhat favorable,Very favorable,Somewhat good,Argentina,1.16872081110473,3.0,2.0,1.0,2.0
Not too satisfied,Very unfavorable,Very favorable,Somewhat bad,Argentina,1.02332138370328,4.0,4.0,1.0,3.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Very bad,Argentina,1.03308594753897,6.0,2.0,2.0,4.0
Not too satisfied,Somewhat favorable,Very favorable,Very bad,Argentina,2.74855678477046,4.0,2.0,1.0,4.0
Not at all satisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Argentina,0.562584691247438,6.0,3.0,2.0,4.0
