q4,q11a,q11c,q5,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.808829893689769,2.0,2.0,2.0,2.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Mexico,0.808829893689769,5.0,1.0,1.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Very good,Mexico,0.808829893689769,2.0,2.0,2.0,1.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.808829893689769,5.0,2.0,2.0,3.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Mexico,0.808829893689769,5.0,1.0,1.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Mexico,0.808829893689769,5.0,3.0,3.0,4.0
Satisfied,Don't know,Don't know,Somewhat good,Mexico,0.808829893689769,2.0,,,2.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Mexico,0.808829893689769,2.0,3.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.808829893689769,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.808829893689769,5.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.808829893689769,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.808829893689769,5.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Very good,Mexico,0.808829893689769,2.0,2.0,2.0,1.0
Satisfied,Somewhat unfavorable,Very unfavorable,Very good,Mexico,0.808829893689769,2.0,3.0,4.0,1.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,Mexico,0.808829893689769,5.0,1.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Mexico,0.808829893689769,5.0,3.0,3.0,3.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat good,Mexico,0.808829893689769,5.0,1.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Don't know,Somewhat bad,Mexico,0.808829893689769,5.0,3.0,,3.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,Mexico,0.808829893689769,5.0,1.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.934423295857481,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.934423295857481,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Mexico,0.934423295857481,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.934423295857481,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.934423295857481,5.0,2.0,2.0,3.0
Satisfied,Very favorable,Very favorable,Very good,Mexico,0.934423295857481,2.0,1.0,1.0,1.0
Dissatisfied,Somewhat favorable,Don't know,Somewhat bad,Mexico,0.857523125026558,5.0,2.0,,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Mexico,0.857523125026558,5.0,4.0,4.0,4.0
Dissatisfied,Somewhat unfavorable,Very favorable,Very bad,Mexico,0.857523125026558,5.0,3.0,1.0,4.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Mexico,0.789220614877212,5.0,2.0,4.0,3.0
Dissatisfied,Very favorable,Very unfavorable,Very bad,Mexico,0.789220614877212,5.0,1.0,4.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Mexico,0.829114486536686,5.0,3.0,3.0,4.0
Satisfied,Somewhat favorable,Don't know,Somewhat bad,Mexico,0.498653730377226,2.0,2.0,,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.498653730377226,5.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.498653730377226,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.498653730377226,5.0,2.0,2.0,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat good,Mexico,0.704622393506931,5.0,1.0,3.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.704622393506931,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.704622393506931,5.0,2.0,3.0,3.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,Mexico,0.660535606046653,2.0,1.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.660535606046653,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Mexico,0.660535606046653,5.0,2.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Mexico,0.660535606046653,5.0,2.0,3.0,4.0
Satisfied,Don't know,Don't know,Somewhat bad,Mexico,0.660535606046653,2.0,,,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,3.0,3.0,2.0
Satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,2.0,4.0,2.0
Dissatisfied,Somewhat favorable,Refused,Somewhat bad,Mexico,0.660535606046653,5.0,2.0,,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Mexico,0.660535606046653,5.0,3.0,3.0,3.0
Satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,2.0,4.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.660535606046653,2.0,2.0,2.0,2.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Mexico,0.660535606046653,2.0,2.0,,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.660535606046653,5.0,2.0,3.0,3.0
Don't know,Very favorable,Very favorable,Somewhat bad,Mexico,0.660535606046653,,1.0,1.0,3.0
Satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,1.0,3.0,2.0
Satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,1.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Mexico,0.660535606046653,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Mexico,0.660535606046653,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.660535606046653,5.0,2.0,2.0,3.0
Satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Mexico,0.660535606046653,2.0,3.0,4.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Mexico,0.660535606046653,5.0,3.0,3.0,4.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,Mexico,0.660535606046653,2.0,1.0,2.0,2.0
Satisfied,Very favorable,Very favorable,Somewhat good,Mexico,0.660535606046653,2.0,1.0,1.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.726384575751899,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Mexico,0.726384575751899,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.726384575751899,5.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.763102183597173,2.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,0.763102183597173,2.0,2.0,2.0,3.0
Don't know,Somewhat favorable,Somewhat favorable,Very bad,Mexico,0.763102183597173,,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Very favorable,Very bad,Mexico,0.700301214764068,5.0,2.0,1.0,4.0
Dissatisfied,Don't know,Don't know,Somewhat bad,Mexico,0.700301214764068,5.0,,,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Mexico,0.700301214764068,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Mexico,0.700301214764068,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Mexico,0.700301214764068,5.0,2.0,4.0,3.0
Dissatisfied,Very unfavorable,Don't know,Very bad,Mexico,0.700301214764068,5.0,4.0,,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.700301214764068,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Don't know,Very bad,Mexico,0.700301214764068,5.0,3.0,,4.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Mexico,0.677101135998105,5.0,1.0,1.0,3.0
Satisfied,Very favorable,Very favorable,Somewhat good,Mexico,0.677101135998105,2.0,1.0,1.0,2.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.677101135998105,2.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Mexico,0.407228450100386,5.0,3.0,2.0,3.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Mexico,0.407228450100386,5.0,4.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Mexico,0.407228450100386,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Mexico,0.575433948918388,5.0,3.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Mexico,0.575433948918388,5.0,2.0,2.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,0.575433948918388,2.0,2.0,2.0,2.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Mexico,1.48641968172146,5.0,1.0,1.0,3.0
Dissatisfied,Don't know,Don't know,Somewhat bad,Mexico,1.48641968172146,5.0,,,3.0
Dissatisfied,Somewhat unfavorable,Don't know,Very bad,Mexico,1.48641968172146,5.0,3.0,,4.0
Satisfied,Somewhat favorable,Very favorable,Somewhat good,Mexico,1.48641968172146,2.0,2.0,1.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Mexico,1.48641968172146,5.0,3.0,2.0,3.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Very bad,Mexico,1.48641968172146,5.0,4.0,3.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,1.48641968172146,2.0,2.0,2.0,2.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Very bad,Mexico,1.48641968172146,5.0,4.0,3.0,4.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,Mexico,1.48641968172146,5.0,1.0,3.0,4.0
Satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Mexico,1.48641968172146,2.0,2.0,4.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Mexico,1.48641968172146,2.0,2.0,2.0,2.0
Satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Mexico,1.48641968172146,2.0,1.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Mexico,1.48641968172146,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Don't know,Mexico,1.48641968172146,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Mexico,1.48641968172146,5.0,2.0,2.0,4.0
