country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.504705367116328,2.0,3.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.245402243247957,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Greece,1.59178198413739,5.0,2.0,4.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,0.549290916224958,5.0,2.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.549290916224958,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,1.19269437673532,5.0,2.0,3.0,4.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Greece,0.567458407825902,2.0,2.0,3.0,2.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Greece,0.709575191109788,5.0,3.0,,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.600086917080119,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Greece,1.41915038221958,5.0,3.0,4.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,1.54072517004984,5.0,2.0,2.0,4.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.7356387203835,5.0,4.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.799341894748058,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,1.58124018649475,5.0,3.0,2.0,3.0
Dissatisfied,Very unfavorable,Don’t know (DO NOT READ),Very bad,Greece,1.19609723048744,5.0,4.0,,4.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Very bad,Greece,0.5014124445185,5.0,4.0,3.0,4.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.545484785810249,5.0,4.0,3.0,3.0
Dissatisfied,Somewhat favorable,Very unfavorable,Very bad,Greece,0.554817247596909,5.0,2.0,4.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Somewhat unfavorable,Somewhat bad,Greece,0.886894639272202,5.0,,3.0,3.0
Dissatisfied,Somewhat unfavorable,Very unfavorable,Very bad,Greece,0.691967517281657,5.0,3.0,4.0,4.0
Dissatisfied,Very unfavorable,Very unfavorable,Somewhat bad,Greece,0.778582847066854,5.0,4.0,4.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,2.547377205974,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.08565119544047,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.272367365936881,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.654390024662471,5.0,2.0,2.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Greece,0.289346829778058,2.0,2.0,2.0,2.0
Dissatisfied,Very favorable,Don’t know (DO NOT READ),Somewhat bad,Greece,0.260344889888323,5.0,1.0,,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Somewhat bad,Greece,0.431762541896139,5.0,4.0,4.0,3.0
Dissatisfied,Somewhat favorable,Don’t know (DO NOT READ),Very bad,Greece,0.258487076273039,5.0,2.0,,4.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Greece,0.995162723449038,5.0,4.0,4.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Greece,1.28909591857099,2.0,2.0,2.0,2.0
Dissatisfied,Very unfavorable,Don’t know (DO NOT READ),Very bad,Greece,1.44620302943959,5.0,4.0,,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.250816267200933,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,1.55392975679876,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,1.90841737053121,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Very favorable,Very bad,Greece,0.75086342109092,5.0,2.0,1.0,4.0
Dissatisfied,Very unfavorable,Somewhat favorable,Somewhat bad,Greece,1.3504026380407,5.0,4.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,0.303703129274242,5.0,2.0,3.0,4.0
