country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,1.14844764409338,,1.0,,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.450598252662415,,2.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.597566797152957,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.818043821852938,,1.0,2.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.706732456352879,,2.0,4.0,3.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.312411451935022,,2.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,1.46154227761701,,3.0,3.0,2.0
 ,Very unfavorable,Don’t know (DO NOT READ),Somewhat good,United States,0.294977233333333,,4.0,,2.0
 ,Very favorable,Don’t know (DO NOT READ),Very good,United States,1.6446695135772,,1.0,,1.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.661198399267901,,2.0,,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,1.55268077123453,,1.0,2.0,1.0
 ,Don’t know (DO NOT READ),Somewhat unfavorable,Somewhat good,United States,0.989040637651116,,,3.0,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat bad,United States,0.381162580834875,,2.0,,3.0
 ,Very unfavorable,Somewhat favorable,Somewhat bad,United States,1.97294083815381,,4.0,2.0,3.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.301587403721447,,1.0,3.0,1.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,1.88327917131191,,4.0,2.0,4.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.7463317189338,,2.0,2.0,2.0
 ,Somewhat unfavorable,Very unfavorable,Somewhat bad,United States,1.21859100633853,,3.0,4.0,3.0
 ,Very favorable,Very unfavorable,Somewhat good,United States,0.895749166350845,,1.0,4.0,2.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,0.941897805245052,,4.0,2.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.31276837310993,,1.0,3.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.481853212608326,,2.0,4.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.01459841126334,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.294977233333333,,1.0,2.0,2.0
 ,Very unfavorable,Very unfavorable,Somewhat bad,United States,0.345512018941601,,4.0,4.0,3.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.602859853659168,,1.0,3.0,1.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.628017318975465,,1.0,,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,2.23731498439784,,2.0,4.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,2.66493855367664,,1.0,2.0,2.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat bad,United States,1.12420650502783,,3.0,2.0,3.0
 ,Somewhat favorable,Somewhat unfavorable,Very good,United States,0.594644270482618,,2.0,3.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,1.0328293422583,,2.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,2.79104631263841,,3.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.869513053160479,,1.0,2.0,1.0
 ,Very favorable,Very favorable,Somewhat good,United States,1.56377728960421,,1.0,1.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.40978949107149,,2.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.535715015430315,,1.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,0.294977233333333,,3.0,2.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Don’t know (DO NOT READ),United States,0.677409157318435,,2.0,3.0,
 ,Somewhat favorable,Somewhat favorable,Very good,United States,0.638814680007017,,2.0,2.0,1.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.35541681245972,,1.0,2.0,1.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,1.03190207266261,,2.0,2.0,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,United States,2.00799403008464,,2.0,,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,1.76932539494921,,2.0,4.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.308290697842503,,1.0,2.0,1.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.411746938907626,,2.0,2.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.779332108296618,,3.0,3.0,3.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.621828719429105,,1.0,3.0,1.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.978879459850219,,1.0,2.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.895749166350845,,1.0,3.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.335116742403686,,2.0,3.0,2.0
 ,Very favorable,Very unfavorable,Somewhat good,United States,0.381986244986132,,1.0,4.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.725376518743245,,1.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.751785548047168,,3.0,3.0,2.0
 ,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.607825825813485,,3.0,4.0,4.0
 ,Somewhat unfavorable,Somewhat favorable,Very bad,United States,1.49680874771428,,3.0,2.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.380597085035507,,1.0,3.0,2.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,0.706690860185124,,4.0,2.0,4.0
 ,Very favorable,Very unfavorable,Very good,United States,0.34589072712511,,1.0,4.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Very good,United States,0.473288899505637,,2.0,3.0,1.0
 ,Very favorable,Very unfavorable,Very good,United States,1.34485176230927,,1.0,4.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.459089831804962,,2.0,3.0,2.0
 ,Somewhat favorable,Refused (DO NOT READ),Somewhat bad,United States,1.60206056828271,,2.0,,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.865473660994541,,2.0,2.0,3.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,0.338801358151952,,3.0,2.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.672228778915512,,2.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,1.85097607421458,,1.0,3.0,1.0
 ,Very favorable,Very unfavorable,Very good,United States,1.16783381498914,,1.0,4.0,1.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,2.52423441322765,,1.0,3.0,1.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,0.294977233333333,,3.0,2.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.865638903571653,,2.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.01669782976341,,1.0,3.0,3.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.77250003825551,,2.0,4.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,1.37720593202902,,1.0,2.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Very good,United States,0.479514664752458,,1.0,,1.0
 ,Somewhat unfavorable,Don’t know (DO NOT READ),Somewhat good,United States,1.74462167106733,,3.0,,2.0
 ,Somewhat unfavorable,Very unfavorable,Very bad,United States,0.755068330740625,,3.0,4.0,4.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.294977233333333,,2.0,3.0,2.0
 ,Very favorable,Very favorable,Very bad,United States,1.20392504711362,,1.0,1.0,4.0
 ,Very favorable,Very unfavorable,Very good,United States,0.397279639658515,,1.0,4.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.677409157318435,,1.0,3.0,3.0
 ,Very favorable,Very unfavorable,Very good,United States,1.17241710468727,,1.0,4.0,1.0
 ,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,1.18927426082319,,3.0,3.0,4.0
 ,Very favorable,Very unfavorable,Somewhat good,United States,0.793573379319854,,1.0,4.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,1.61487224012882,,1.0,,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.402253369156717,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,1.89914897084791,,1.0,3.0,1.0
 ,Very favorable,Very unfavorable,Very good,United States,1.32929488234895,,1.0,4.0,1.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,0.902040484554199,,4.0,2.0,4.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.334884382613303,,1.0,,2.0
 ,Very unfavorable,Somewhat unfavorable,Somewhat bad,United States,2.2001939515821,,4.0,3.0,3.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.36187349972696,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.334884382613303,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.481853212608326,,1.0,2.0,1.0
 ,Very unfavorable,Very unfavorable,Very bad,United States,0.774533002426334,,4.0,4.0,4.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,1.52537285117227,,1.0,,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,1.76598033489717,,2.0,4.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.939736862171718,,2.0,2.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,2.18491456751643,,2.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.26223150914382,,1.0,3.0,3.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.831541879617555,,2.0,,2.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.529765346548547,,1.0,3.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.635367682484807,,2.0,3.0,4.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.731473543971956,,1.0,3.0,1.0
 ,Very favorable,Very unfavorable,Very good,United States,0.309772079782663,,1.0,4.0,1.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.667021984435224,,3.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.635683985127013,,1.0,3.0,3.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.382358759013625,,1.0,2.0,3.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat bad,United States,0.589227398926847,,2.0,,3.0
 ,Very favorable,Somewhat favorable,Very good,United States,2.86558845594287,,1.0,2.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.335116742403686,,1.0,3.0,2.0
 ,Very favorable,Very unfavorable,Somewhat good,United States,0.745825407188302,,1.0,4.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.755776387284938,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.338801358151952,,1.0,2.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.353643005840778,,2.0,3.0,2.0
 ,Very unfavorable,Very unfavorable,Very good,United States,2.87793723333333,,4.0,4.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.07916666767742,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.294977233333333,,1.0,2.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.449094212886836,,3.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.563076355206787,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.455934990166998,,1.0,3.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.589227398926847,,2.0,2.0,2.0
 ,Somewhat favorable,Very unfavorable,Very bad,United States,1.99620822112229,,2.0,4.0,4.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.632993737502548,,1.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.708808228827007,,1.0,3.0,1.0
 ,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,0.492193794086115,,3.0,4.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.366058463490963,,2.0,3.0,3.0
 ,Very favorable,Very favorable,Somewhat good,United States,0.403856691092874,,1.0,1.0,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.400711902654886,,2.0,,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.331597537964149,,1.0,2.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,2.87793723333333,,2.0,3.0,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.381162580834875,,2.0,,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Very bad,United States,1.5617253529051,,2.0,,4.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,1.91674572594275,,1.0,2.0,3.0
 ,Very favorable,Very favorable,Very bad,United States,1.4746176400491,,1.0,1.0,4.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,1.18681981494797,,1.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.503454851644426,,1.0,2.0,3.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,1.02879371741026,,2.0,3.0,3.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.719514093579153,,1.0,3.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.447072041916002,,1.0,3.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.822375456021457,,1.0,2.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,1.67881208679597,,2.0,4.0,2.0
 ,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,United States,0.294977233333333,,3.0,,4.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.67611337481651,,2.0,4.0,2.0
 ,Very favorable,Refused (DO NOT READ),Somewhat good,United States,1.43793155717745,,1.0,,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.607825825813485,,1.0,2.0,1.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,0.450598252662415,,3.0,2.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.402650734527232,,2.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.694350051076815,,1.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.409762200665071,,1.0,3.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.866510680698553,,2.0,2.0,2.0
 ,Somewhat unfavorable,Don’t know (DO NOT READ),Somewhat good,United States,1.29697875237605,,3.0,,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.843651999820942,,2.0,4.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.402650734527232,,3.0,3.0,2.0
 ,Very favorable,Very unfavorable,Don’t know (DO NOT READ),United States,1.4659820337534,,1.0,4.0,
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,2.87793723333333,,2.0,3.0,2.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Very good,United States,0.535094502186477,,2.0,,1.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.611708397542834,,1.0,3.0,1.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.455934990166998,,1.0,2.0,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,1.03403708634033,,2.0,2.0,3.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.301587403721447,,1.0,3.0,1.0
 ,Very unfavorable,Don’t know (DO NOT READ),Somewhat bad,United States,1.61824653510053,,4.0,,3.0
 ,Very unfavorable,Very unfavorable,Somewhat bad,United States,1.01645373880949,,4.0,4.0,3.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.94774568487821,,1.0,3.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.483469992445758,,2.0,4.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.909936415388873,,2.0,3.0,2.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,0.607825825813485,,4.0,2.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.389750003018852,,1.0,3.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,1.65122974128953,,1.0,,2.0
 ,Very unfavorable,Don’t know (DO NOT READ),Somewhat good,United States,0.886232397304215,,4.0,,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.986063746086525,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.495768443231395,,1.0,3.0,2.0
 ,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,1.40050979033965,,3.0,4.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Very good,United States,0.77250003825551,,1.0,,1.0
 ,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat good,United States,0.677409157318435,,,,2.0
 ,Very favorable,Very favorable,Somewhat bad,United States,0.334884382613303,,1.0,1.0,3.0
 ,Very favorable,Refused (DO NOT READ),Very good,United States,0.481853212608326,,1.0,,1.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,1.43477048884943,,1.0,2.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.55818614622292,,1.0,,2.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.489823166247524,,1.0,3.0,1.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.539775481783129,,1.0,3.0,1.0
 ,Very favorable,Very favorable,Very good,United States,0.447072041916002,,1.0,1.0,1.0
 ,Very favorable,Very unfavorable,Very good,United States,1.10710548123489,,1.0,4.0,1.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.900734147556054,,1.0,2.0,3.0
 ,Somewhat unfavorable,Somewhat favorable,Very bad,United States,1.01869896215205,,3.0,2.0,4.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.713470436284362,,1.0,2.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.712926644661671,,1.0,,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,1.39366968293082,,1.0,2.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.309772079782663,,2.0,3.0,3.0
 ,Very favorable,Very favorable,Very good,United States,0.812273074921307,,1.0,1.0,1.0
 ,Don’t know (DO NOT READ),Somewhat unfavorable,Very bad,United States,1.15996353161382,,,3.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.45958298701043,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.294977233333333,,1.0,3.0,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.43658892835325,,2.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,1.07916666767742,,1.0,2.0,1.0
 ,Don’t know (DO NOT READ),Somewhat favorable,Very bad,United States,1.52537285117227,,,2.0,4.0
 ,Somewhat unfavorable,Somewhat favorable,Refused (DO NOT READ),United States,0.948673822075483,,3.0,2.0,
 ,Very favorable,Somewhat favorable,Very good,United States,0.323323139902689,,1.0,2.0,1.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Very bad,United States,1.12059921829601,,2.0,,4.0
 ,Very favorable,Don’t know (DO NOT READ),Don’t know (DO NOT READ),United States,1.4746176400491,,1.0,,
 ,Very favorable,Very unfavorable,Somewhat good,United States,1.03925702529534,,1.0,4.0,2.0
 ,Somewhat unfavorable,Very favorable,Somewhat good,United States,2.87793723333333,,3.0,1.0,2.0
 ,Very favorable,Very unfavorable,Very bad,United States,0.479514664752458,,1.0,4.0,4.0
 ,Very favorable,Don’t know (DO NOT READ),Very bad,United States,0.616329830935375,,1.0,,4.0
 ,Very favorable,Very unfavorable,Very good,United States,0.384667002479083,,1.0,4.0,1.0
 ,Very unfavorable,Very unfavorable,Very bad,United States,2.87793723333333,,4.0,4.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.681211847210377,,1.0,3.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,2.87793723333333,,2.0,3.0,3.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.827363362400052,,1.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.30774979625504,,1.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.03794802008896,,1.0,3.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat bad,United States,1.60128249967295,,2.0,4.0,3.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.737317231810444,,1.0,,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat bad,United States,0.386783649925899,,1.0,,3.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.745682104490573,,1.0,2.0,2.0
 ,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very good,United States,0.345425367787536,,,,1.0
 ,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.499204152382925,,2.0,3.0,4.0
 ,Very unfavorable,Very unfavorable,Very good,United States,1.93774441309946,,4.0,4.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.535715015430315,,2.0,3.0,3.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,2.87616802174094,,1.0,,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.416969623215725,,2.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.338801358151952,,1.0,2.0,1.0
 ,Very favorable,Somewhat favorable,Very good,United States,1.51991448587389,,1.0,2.0,1.0
 ,Very favorable,Very favorable,Somewhat good,United States,0.328822747409856,,1.0,1.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.331597537964149,,3.0,3.0,3.0
 ,Very favorable,Somewhat favorable,Very good,United States,0.397279639658515,,1.0,2.0,1.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.73678972495618,,2.0,3.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.447072041916002,,2.0,2.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat bad,United States,1.15987304417284,,2.0,4.0,3.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,2.87793723333333,,2.0,3.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.597963035447038,,2.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,2.87793723333333,,1.0,3.0,3.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.6907614046299,,1.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat favorable,Somewhat good,United States,1.40014360692036,,3.0,2.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Very bad,United States,2.26363412703635,,1.0,,4.0
 ,Very favorable,Very favorable,Very good,United States,0.383883817409367,,1.0,1.0,1.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.903441736445972,,1.0,2.0,3.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.460256955198722,,1.0,3.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.47099357369178,,2.0,3.0,2.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.822189381419821,,2.0,3.0,2.0
