country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
 ,Refused (DO NOT READ),Somewhat unfavorable,Very bad,United States,0.366058463490963,,,3.0,4.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.61593886714356,,1.0,3.0,2.0
 ,Very unfavorable,Somewhat favorable,Somewhat bad,United States,1.2632119070939,,4.0,2.0,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,2.50710645479574,,2.0,2.0,2.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,1.05985892655204,,1.0,2.0,2.0
 ,Somewhat unfavorable,Very unfavorable,Very bad,United States,2.12266712105979,,3.0,4.0,4.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.783191438180083,,1.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.8728106911982,,1.0,3.0,3.0
 ,Very unfavorable,Somewhat unfavorable,Very bad,United States,0.793576261366249,,4.0,3.0,4.0
 ,Very favorable,Somewhat favorable,Very bad,United States,0.831334052722223,,1.0,2.0,4.0
 ,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,United States,2.22030649200205,,3.0,,4.0
 ,Somewhat favorable,Don’t know (DO NOT READ),Very good,United States,2.83570059507599,,2.0,,1.0
 ,Very favorable,Somewhat unfavorable,Very good,United States,0.688187321984037,,1.0,3.0,1.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.661198399267901,,1.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,1.10591945052985,,3.0,3.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.737317231810444,,1.0,3.0,3.0
 ,Very favorable,Somewhat favorable,Somewhat good,United States,0.860261333770848,,1.0,2.0,2.0
 ,Very favorable,Very unfavorable,Somewhat good,United States,0.989351005059134,,1.0,4.0,2.0
 ,Very unfavorable,Very unfavorable,Somewhat good,United States,1.04272538527466,,4.0,4.0,2.0
 ,Very favorable,Don’t know (DO NOT READ),Somewhat good,United States,0.774049096717942,,1.0,,2.0
 ,Very favorable,Very favorable,Very good,United States,1.11948105762463,,1.0,1.0,1.0
 ,Very unfavorable,Somewhat favorable,Very bad,United States,0.294977233333333,,4.0,2.0,4.0
 ,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.654350332043238,,2.0,3.0,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat good,United States,1.47210782042614,,2.0,2.0,2.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,1.10369890608143,,1.0,3.0,2.0
 ,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.403856691092874,,3.0,3.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.47976656451831,,2.0,4.0,2.0
 ,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.470840845597299,,2.0,2.0,3.0
 ,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,2.87793723333333,,2.0,2.0,3.0
 ,Very favorable,Somewhat favorable,Somewhat bad,United States,0.381162580834875,,1.0,2.0,3.0
 ,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.660131644299531,,1.0,3.0,2.0
 ,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.737716225095045,,2.0,4.0,3.0
 ,Very favorable,Somewhat favorable,Very good,United States,1.10037033709877,,1.0,2.0,1.0
