satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.430223154055813,3.0,2.0,4.0,3.0
Not at all satisfied,Somewhat unfavorable,Very unfavorable,Very bad,Canada ,0.710915550247781,6.0,3.0,4.0,4.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,1.95687324714128,4.0,3.0,4.0,3.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.224214443918588,3.0,4.0,3.0,3.0
Very satisfied,Very unfavorable,Very unfavorable,Very good,Canada ,0.237770192028357,1.0,4.0,4.0,1.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.224214443918588,3.0,3.0,3.0,3.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.496742718696578,3.0,4.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.237693551846737,3.0,2.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.280918037591483,3.0,2.0,4.0,3.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,1.28705944741567,4.0,3.0,3.0,3.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.375021093028112,1.0,3.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.550276914894931,3.0,2.0,3.0,2.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Very bad,Canada ,0.455574468943584,3.0,4.0,3.0,4.0
Very satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Canada ,0.237693551846737,1.0,1.0,3.0,2.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat good,Canada ,0.926132900680527,3.0,4.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,1.59264216158153,3.0,3.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.235127801033479,3.0,2.0,3.0,3.0
Not at all satisfied,Refused (DO NOT READ),Refused (DO NOT READ),Somewhat bad,Canada ,0.931045618846193,6.0,,,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,1.51023679007431,3.0,2.0,4.0,3.0
Not too satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Canada ,0.532379718995766,4.0,3.0,2.0,3.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.334619494732929,1.0,3.0,3.0,3.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Canada ,0.524051575640483,1.0,2.0,3.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Canada ,0.446733055483364,3.0,2.0,2.0,3.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.282469573665124,3.0,3.0,4.0,3.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,1.18102425281235,6.0,2.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,2.83518207572034,3.0,2.0,3.0,2.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Very bad,Canada ,0.237770192028357,4.0,3.0,4.0,4.0
Not at all satisfied,Very unfavorable,Somewhat favorable,Somewhat good,Canada ,0.310046419391311,6.0,4.0,2.0,2.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,1.92466785816238,1.0,3.0,4.0,2.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Canada ,0.884683554074919,3.0,4.0,4.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.926132900680527,3.0,2.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.713055084656991,3.0,2.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,1.90014917896816,3.0,2.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.270558264707037,3.0,2.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,0.931045618846193,3.0,2.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.627632060509606,3.0,2.0,3.0,2.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,1.89426127342592,3.0,3.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Refused (DO NOT READ),Very bad,Canada ,1.6473807845282,3.0,2.0,,4.0
Not too satisfied,Very unfavorable,Very unfavorable,Very bad,Canada ,0.517833735607267,4.0,4.0,4.0,4.0
Somewhat satisfied,Very favorable,Very favorable,Somewhat good,Canada ,0.257325324314958,3.0,1.0,1.0,2.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.27517458458317,1.0,2.0,4.0,3.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.354177460389716,3.0,3.0,4.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,2.83494575637458,3.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,1.55335756650446,3.0,2.0,3.0,2.0
Not too satisfied,Very favorable,Very unfavorable,Very bad,Canada ,1.5531337654073,4.0,1.0,4.0,4.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Somewhat good,Canada ,1.94866471228457,3.0,4.0,3.0,2.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,1.01488271665888,1.0,2.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,1.62788764156744,3.0,3.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.375021093028112,3.0,2.0,3.0,2.0
Not too satisfied,Very unfavorable,Somewhat unfavorable,Don’t know (DO NOT READ),Canada ,2.83518207572034,4.0,4.0,3.0,
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,1.76626114480298,4.0,2.0,4.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,Canada ,0.927239216660336,3.0,1.0,2.0,2.0
Somewhat satisfied,Very unfavorable,Very favorable,Somewhat bad,Canada ,0.453546429530753,3.0,4.0,1.0,3.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.299450807359564,4.0,3.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Canada ,1.02458361935142,3.0,3.0,3.0,4.0
Very satisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Somewhat bad,Canada ,0.579864785340734,1.0,3.0,,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.476018929783788,3.0,3.0,3.0,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.224214443918588,3.0,3.0,3.0,3.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.829785880425164,3.0,1.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.480812296828273,3.0,2.0,3.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,1.4798281755856,3.0,3.0,3.0,3.0
Somewhat satisfied,Very unfavorable,Somewhat favorable,Somewhat bad,Canada ,0.387841565738847,3.0,4.0,2.0,3.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.433113379741822,6.0,2.0,4.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Canada ,0.358820817402242,3.0,2.0,3.0,4.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,1.22281300233426,4.0,2.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,1.01488271665888,3.0,2.0,3.0,2.0
