q2,q12a,q12c,q3,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
,Somewhat favorable,Very unfavorable,Somewhat good,Ethiopia,0.6873108270919226,,2.0,4.0,2.0
,Somewhat favorable,Don’t know,Somewhat good,Ethiopia,0.8858166957145672,,2.0,,2.0
,Very favorable,Don’t know,Somewhat good,Ethiopia,0.9577233384414072,,1.0,,2.0
,Don’t know,Don’t know,Somewhat good,Ethiopia,0.8858166957145672,,,,2.0
,Very favorable,Don’t know,Somewhat good,Ethiopia,1.185635657316806,,1.0,,2.0
,Very favorable,Somewhat favorable,Somewhat good,Ethiopia,0.9577233384414072,,1.0,2.0,2.0
,Very favorable,Very favorable,Very good,Ethiopia,1.185635657316806,,1.0,1.0,1.0
,Very favorable,Very favorable,Somewhat good,Ethiopia,1.185635657316806,,1.0,1.0,2.0
,Somewhat favorable,Somewhat favorable,Somewhat good,Ethiopia,1.5323322096230465,,2.0,2.0,2.0
,Very favorable,Somewhat favorable,Very good,Ethiopia,0.9577233384414072,,1.0,2.0,1.0
,Very favorable,Very unfavorable,Somewhat bad,Ethiopia,1.185635657316806,,1.0,4.0,3.0
,Don’t know,Don’t know,Very good,Ethiopia,0.8858166957145672,,,,1.0
,Don’t know,Don’t know,Very good,Ethiopia,1.5323322096230465,,,,1.0
,Don’t know,Don’t know,Very good,Ethiopia,1.185635657316806,,,,1.0
,Somewhat unfavorable,Refused,Very good,Ethiopia,0.9577233384414072,,3.0,,1.0
,Don’t know,Don’t know,Somewhat good,Ethiopia,0.8858166957145672,,,,2.0
,Somewhat favorable,Somewhat favorable,Very good,Ethiopia,1.5323322096230465,,2.0,2.0,1.0
,Very favorable,Don’t know,Very good,Ethiopia,0.8858166957145672,,1.0,,1.0
,Very favorable,Somewhat favorable,Very good,Ethiopia,1.185635657316806,,1.0,2.0,1.0
,Don’t know,Don’t know,Somewhat bad,Ethiopia,0.9577233384414072,,,,3.0
,Very favorable,Don’t know,Somewhat bad,Ethiopia,0.9577233384414072,,1.0,,3.0
,Very favorable,Don’t know,Somewhat bad,Ethiopia,0.8858166957145672,,1.0,,3.0
,Very favorable,Don’t know,Very good,Ethiopia,0.8858166957145672,,1.0,,1.0
,Very favorable,Don’t know,Very good,Ethiopia,1.185635657316806,,1.0,,1.0
,Don’t know,Don’t know,Somewhat good,Ethiopia,0.9577233384414072,,,,2.0
,Very favorable,Somewhat unfavorable,Somewhat good,Ethiopia,1.185635657316806,,1.0,3.0,2.0
,Very favorable,Somewhat favorable,Very good,Ethiopia,0.8858166957145672,,1.0,2.0,1.0
,Very favorable,Don’t know,Very good,Ethiopia,0.8858166957145672,,1.0,,1.0
,Somewhat favorable,Don’t know,Somewhat good,Ethiopia,1.185635657316806,,2.0,,2.0
,Don’t know,Don’t know,Somewhat good,Ethiopia,1.5323322096230465,,,,2.0
,Very unfavorable,Don’t know,Somewhat good,Ethiopia,0.9577233384414072,,4.0,,2.0
,Very favorable,Don’t know,Somewhat good,Ethiopia,0.8858166957145672,,1.0,,2.0
,Very unfavorable,Don’t know,Very good,Ethiopia,0.8858166957145672,,4.0,,1.0
,Very favorable,Don’t know,Somewhat good,Ethiopia,1.5323322096230465,,1.0,,2.0
,Very favorable,Don’t know,Very good,Ethiopia,0.9577233384414072,,1.0,,1.0
,Very favorable,Don’t know,Somewhat good,Ethiopia,1.185635657316806,,1.0,,2.0
,Very favorable,Don’t know,Very good,Ethiopia,0.9577233384414072,,1.0,,1.0
,Very favorable,Somewhat favorable,Very good,Ethiopia,0.9577233384414072,,1.0,2.0,1.0
,Very unfavorable,Don’t know,Somewhat good,Ethiopia,0.8858166957145672,,4.0,,2.0
,Somewhat favorable,Don’t know,Somewhat good,Ethiopia,1.5323322096230465,,2.0,,2.0
,Very favorable,Don’t know,Somewhat bad,Ethiopia,0.8858166957145672,,1.0,,3.0
,Don’t know,Don’t know,Somewhat bad,Ethiopia,1.5323322096230465,,,,3.0
,Somewhat favorable,Somewhat unfavorable,Somewhat good,Ethiopia,0.8587001715070903,,2.0,3.0,2.0
,Very favorable,Very unfavorable,Somewhat good,Ethiopia,0.9577233384414072,,1.0,4.0,2.0
,Somewhat favorable,Somewhat favorable,Somewhat good,Ethiopia,0.9577233384414072,,2.0,2.0,2.0
,Somewhat favorable,Don’t know,Somewhat good,Ethiopia,0.9577233384414072,,2.0,,2.0
,Very favorable,Don’t know,Very good,Ethiopia,1.185635657316806,,1.0,,1.0
,Very favorable,Don’t know,Very good,Ethiopia,1.185635657316806,,1.0,,1.0
,Very favorable,Don’t know,Very good,Ethiopia,1.5323322096230465,,1.0,,1.0
,Very favorable,Very unfavorable,Very good,Ethiopia,0.8858166957145672,,1.0,4.0,1.0
,Don’t know,Don’t know,Very good,Ethiopia,1.5323322096230465,,,,1.0
,Very favorable,Don’t know,Very good,Ethiopia,1.5323322096230465,,1.0,,1.0
,Very favorable,Somewhat unfavorable,Very good,Ethiopia,0.9577233384414072,,1.0,3.0,1.0
,Somewhat favorable,Don’t know,Somewhat good,Ethiopia,0.8587001715070903,,2.0,,2.0
