q2,q8a,q8c,q14,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.1730135223212028,2.0,2.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.1730135223212028,5.0,2.0,3.0,3.0
Satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.1730135223212028,2.0,4.0,3.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.1730135223212028,2.0,2.0,2.0,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.1730135223212028,2.0,3.0,3.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Very good,Brazil,0.1730135223212028,2.0,2.0,2.0,1.0
Dissatisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.1730135223212028,5.0,2.0,,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.1730135223212028,5.0,3.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.1730135223212028,5.0,2.0,2.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.1730135223212028,2.0,2.0,2.0,3.0
Satisfied,Very favorable,Somewhat favorable,Somewhat bad,Brazil,0.1730135223212028,2.0,1.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.1730135223212028,2.0,2.0,3.0,2.0
Satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Brazil,0.1730135223212028,2.0,1.0,3.0,2.0
Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.1730135223212028,,2.0,3.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Very good,Brazil,0.1730135223212028,2.0,2.0,2.0,1.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.1730135223212028,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat good,Brazil,0.1742587120276505,5.0,2.0,4.0,2.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Brazil,0.1742587120276505,5.0,4.0,4.0,4.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.1802292370303614,2.0,2.0,,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.1815542465897865,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.1825080938328667,5.0,3.0,2.0,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.190937070307282,2.0,3.0,3.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.190937070307282,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.1946367204927854,5.0,2.0,3.0,3.0
Satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Brazil,0.1946367204927854,2.0,3.0,4.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.2019123000916771,2.0,2.0,2.0,2.0
Satisfied,Somewhat unfavorable,Don't know,Somewhat good,Brazil,0.2131429534055998,2.0,3.0,,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.2151504227079819,5.0,2.0,2.0,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.2151504227079819,2.0,3.0,3.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.2204384879677358,5.0,3.0,2.0,3.0
Satisfied,Very favorable,Very favorable,Somewhat good,Brazil,0.2204384879677358,2.0,1.0,1.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.2204384879677358,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.2204384879677358,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.2204384879677358,5.0,3.0,3.0,2.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Brazil,0.2218952002845737,2.0,3.0,2.0,2.0
Dissatisfied,Very favorable,Don't know,Somewhat bad,Brazil,0.2218952002845737,5.0,1.0,,3.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.2218952002845737,2.0,2.0,,2.0
Satisfied,Somewhat favorable,Very favorable,Very good,Brazil,0.2218952002845737,2.0,2.0,1.0,1.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.2218952002845737,5.0,3.0,3.0,3.0
Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.226029868668804,,2.0,3.0,2.0
Dissatisfied,Very favorable,Very favorable,Somewhat good,Brazil,0.2432470109560331,5.0,1.0,1.0,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.2432470109560331,2.0,3.0,3.0,2.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,Brazil,0.2432470109560331,2.0,1.0,2.0,2.0
Dissatisfied,Don't know,Don't know,Somewhat good,Brazil,0.2432470109560331,5.0,,,2.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.2432470109560331,2.0,2.0,3.0,2.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.2688612017764866,2.0,2.0,3.0,2.0
Dissatisfied,Somewhat favorable,Don't know,Somewhat bad,Brazil,0.2688612017764866,5.0,2.0,,3.0
Satisfied,Don't know,Don't know,Somewhat bad,Brazil,0.2688612017764866,2.0,,,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.2745723122570209,2.0,3.0,3.0,2.0
Satisfied,Somewhat unfavorable,Don't know,Somewhat good,Brazil,0.2843143253129148,2.0,3.0,,2.0
Dissatisfied,Somewhat favorable,Very favorable,Somewhat bad,Brazil,0.2843143253129148,5.0,2.0,1.0,3.0
Dissatisfied,Very unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.2853400104236746,5.0,4.0,2.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Brazil,0.2853400104236746,5.0,4.0,4.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.2864016144682743,5.0,2.0,3.0,3.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.2864016144682743,2.0,2.0,,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.2864016144682743,2.0,3.0,3.0,2.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.2923322295444964,2.0,2.0,,2.0
Dissatisfied,Don't know,Don't know,Somewhat good,Brazil,0.2923322295444964,5.0,,,2.0
Dissatisfied,Somewhat favorable,Very unfavorable,Somewhat good,Brazil,0.2923322295444964,5.0,2.0,4.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.2923322295444964,5.0,2.0,2.0,3.0
Satisfied,Don't know,Don't know,Somewhat good,Brazil,0.2923322295444964,2.0,,,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.2923322295444964,2.0,2.0,2.0,2.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.3029602429684396,2.0,3.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Brazil,0.3029602429684396,5.0,3.0,2.0,3.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Brazil,0.3029602429684396,5.0,1.0,1.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.3127262019802267,2.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Don't know,Brazil,0.3127262019802267,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3198461328658125,5.0,2.0,3.0,3.0
Dissatisfied,Don't know,Don't know,Very bad,Brazil,0.3198461328658125,5.0,,,4.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Brazil,0.3198461328658125,5.0,1.0,1.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.3198461328658125,5.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3226318457347243,2.0,2.0,2.0,2.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3226318457347243,5.0,4.0,3.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Brazil,0.3226318457347243,5.0,4.0,4.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3226318457347243,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.3226318457347243,5.0,3.0,3.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3226318457347243,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Very favorable,Somewhat good,Brazil,0.3226318457347243,5.0,2.0,1.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3226318457347243,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Very favorable,Very bad,Brazil,0.3227276295582973,5.0,3.0,1.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.3227276295582973,2.0,2.0,2.0,3.0
Satisfied,Very favorable,Somewhat favorable,Somewhat good,Brazil,0.3229072242274964,2.0,1.0,2.0,2.0
Satisfied,Somewhat favorable,Don't know,Somewhat good,Brazil,0.3306577319516038,2.0,2.0,,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.3306577319516038,5.0,3.0,3.0,2.0
Dissatisfied,Very unfavorable,Very favorable,Somewhat good,Brazil,0.3328408049305362,5.0,4.0,1.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3333237150410496,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3333237150410496,5.0,2.0,2.0,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.3333237150410496,2.0,3.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3333237150410496,5.0,2.0,3.0,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3333237150410496,2.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Don't know,Somewhat bad,Brazil,0.3333237150410496,5.0,2.0,,3.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Brazil,0.3427823676188736,2.0,3.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Brazil,0.3449734225831037,5.0,3.0,3.0,4.0
Satisfied,Don't know,Don't know,Somewhat good,Brazil,0.3460310356350545,2.0,,,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3460310356350545,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Very favorable,Somewhat good,Brazil,0.3460310356350545,5.0,2.0,1.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3460310356350545,2.0,2.0,2.0,2.0
Satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Brazil,0.3460310356350545,2.0,2.0,3.0,2.0
Satisfied,Don't know,Somewhat favorable,Somewhat bad,Brazil,0.3460310356350545,2.0,,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Brazil,0.3460310356350545,5.0,3.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Don't know,Somewhat good,Brazil,0.3485174240553011,5.0,3.0,,2.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Brazil,0.3485174240553011,2.0,3.0,3.0,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Brazil,0.3604624650533717,2.0,3.0,3.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3604624650533717,5.0,2.0,2.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3604624650533717,2.0,2.0,2.0,2.0
Dissatisfied,Don't know,Don't know,Somewhat bad,Brazil,0.3604624650533717,5.0,,,3.0
Dissatisfied,Somewhat unfavorable,Don't know,Somewhat bad,Brazil,0.3604624650533717,5.0,3.0,,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.3621945558629817,5.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3621945558629817,2.0,2.0,2.0,2.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Brazil,0.3621945558629817,2.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3631005111942754,2.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3631005111942754,5.0,2.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Brazil,0.3631005111942754,5.0,2.0,2.0,2.0
Dissatisfied,Don't know,Don't know,Somewhat bad,Brazil,0.3631005111942754,5.0,,,3.0
Dissatisfied,Very unfavorable,Don't know,Somewhat good,Brazil,0.3631005111942754,5.0,4.0,,2.0
Satisfied,Very unfavorable,Somewhat favorable,Somewhat good,Brazil,0.3631005111942754,2.0,4.0,2.0,2.0
