satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Belgium,2.35906368521523,3.0,2.0,4.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,0.841537687996777,4.0,2.0,3.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,1.36563905265518,1.0,2.0,3.0,2.0
Not at all satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Belgium,0.654529253535967,6.0,,,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Belgium,0.701061310468576,3.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,1.28026838368887,3.0,2.0,3.0,2.0
Not at all satisfied,Somewhat unfavorable,Very favorable,Somewhat good,Belgium,2.35010793027638,6.0,3.0,1.0,2.0
Don’t know (DO NOT READ),Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,2.91836767742797,,2.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,0.553773827521426,3.0,2.0,3.0,2.0
Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very unfavorable,Somewhat good,Belgium,1.3018796053412,,,4.0,2.0
Somewhat satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Belgium,0.582392774624949,3.0,,,4.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Belgium,0.715333988895594,4.0,3.0,4.0,2.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Belgium,1.19787530014605,4.0,3.0,3.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Belgium,3.05762567083029,3.0,3.0,2.0,4.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Belgium,0.767336148827253,4.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Belgium,0.606419049943327,3.0,2.0,3.0,2.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,Belgium,1.21008705549086,3.0,1.0,2.0,2.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,Belgium,0.255285679780955,1.0,1.0,3.0,1.0
Somewhat satisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat good,Belgium,1.66333250695401,3.0,,,2.0
