country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
,Very favorable,Somewhat favorable,Somewhat good,United States,1.2732543046819274,,1.0,2.0,2.0
,Very favorable,Very unfavorable,Very good,United States,0.5156822782238323,,1.0,4.0,1.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.3264876719933589,,1.0,2.0,2.0
,Very favorable,Very unfavorable,Somewhat bad,United States,0.9558930503548876,,1.0,4.0,3.0
,Very favorable,Very unfavorable,Somewhat good,United States,1.1226287331108542,,1.0,4.0,2.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.6859891678927064,,1.0,2.0,2.0
,Very favorable,Very favorable,Very good,United States,0.3151391700256752,,1.0,1.0,1.0
,Somewhat favorable,Don’t know (DO NOT READ),Very bad,United States,0.4571938450057706,,2.0,,4.0
,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.5237770138930891,,1.0,3.0,2.0
,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.6600383976589124,,2.0,3.0,3.0
,Somewhat favorable,Somewhat unfavorable,Very bad,United States,1.0041440237559478,,2.0,3.0,4.0
,Very favorable,Somewhat favorable,Very good,United States,0.3162502121763575,,1.0,2.0,1.0
,Very favorable,Somewhat favorable,Very good,United States,2.2587486923371363,,1.0,2.0,1.0
,Very favorable,Somewhat unfavorable,Somewhat bad,United States,0.2972037753075179,,1.0,3.0,3.0
,Very favorable,Somewhat favorable,Somewhat good,United States,1.3099186956544435,,1.0,2.0,2.0
,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,0.5188566843686389,,3.0,3.0,4.0
,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,1.1271522618672036,,3.0,3.0,4.0
,Very favorable,Somewhat favorable,Very bad,United States,0.8328054520900116,,1.0,2.0,4.0
,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,United States,0.3261702313788782,,3.0,3.0,3.0
,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.7922524135901072,,2.0,4.0,3.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.2579998594191564,,1.0,2.0,2.0
,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.4748911592630674,,1.0,3.0,2.0
,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.3543430859140368,,2.0,4.0,2.0
,Somewhat favorable,Very unfavorable,Somewhat bad,United States,0.4424328564324199,,2.0,4.0,3.0
,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.6928935012576607,,2.0,2.0,2.0
,Very unfavorable,Somewhat favorable,Somewhat bad,United States,0.4029114999295777,,4.0,2.0,3.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.7358273443661699,,1.0,2.0,2.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.3783098523073266,,1.0,2.0,2.0
,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.3540256452995561,,2.0,4.0,2.0
,Refused (DO NOT READ),Very unfavorable,Very bad,United States,3.589777188854544,,,4.0,4.0
,Very favorable,Somewhat unfavorable,Very good,United States,1.0805678516921668,,1.0,3.0,1.0
,Somewhat favorable,Very favorable,Very good,United States,0.744001440189047,,2.0,1.0,1.0
,Somewhat unfavorable,Somewhat favorable,Somewhat bad,United States,0.505920979328552,,3.0,2.0,3.0
,Somewhat unfavorable,Very unfavorable,Very good,United States,0.6379762749525065,,3.0,4.0,1.0
,Somewhat favorable,Somewhat favorable,Somewhat good,United States,2.244463864685507,,2.0,2.0,2.0
,Very favorable,Very unfavorable,Very good,United States,0.6618636811921762,,1.0,4.0,1.0
,Very favorable,Somewhat unfavorable,Very good,United States,0.8495504445038664,,1.0,3.0,1.0
,Very favorable,Very favorable,Very good,United States,0.9489887169899331,,1.0,1.0,1.0
,Very favorable,Somewhat favorable,Somewhat good,United States,0.4244974617142626,,1.0,2.0,2.0
,Very favorable,Very unfavorable,Very bad,United States,0.8732791304362958,,1.0,4.0,4.0
,Somewhat favorable,Somewhat unfavorable,Very bad,United States,0.4272750670909684,,2.0,3.0,4.0
,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.6249612097587994,,1.0,3.0,2.0
,Somewhat unfavorable,Very unfavorable,Somewhat good,United States,0.8501853257328278,,3.0,4.0,2.0
