year,country,simple_diversion_index,latent_diversion_risk,us_prop_fav,china_prop_fav,aid_china,aid_us,vote_china,vote_us
2001,Argentina,-0.03686585172251395,-0.0055619422704815125,0.5950334288443171,0.640251572327044,0.0,143931.945,0.6911765,0.2173913
2001,Bolivia,0.16912977655430858,-0.6667284122958916,0.7970085470085471,0.7967479674796748,4011757.7380622,0.0,0.8088235,0.1884058
2001,Brazil,-0.17105824955528875,-0.06917149205683906,0.8191747572815534,0.6595441595441596,0.0,538123.9528000001,0.8088235,0.1594203
2001,Chile,-1.038624128103113,1.2509643039898468,0.7925581395348837,0.7435897435897436,0.0,294347.30090000003,0.7313433,0.2352941
2001,Colombia,-0.6456847622355711,0.11395058244135747,0.8764822134387352,0.8315363881401617,0.0,41493.8948,0.8235294,0.1449275
2001,Costa Rica,-0.5936713830844412,0.8728193353219931,0.944186046511628,0.8328445747800587,0.0,110218.155,0.8387097,0.1746032
2001,Ecuador,0.3534849696971157,-0.7867226031799809,0.8782771535580525,0.8356481481481481,518984.40996756265,15560.2108,0.8358209,0.1617647
2001,El Salvador,0.2019217607618043,-0.7400842241771028,0.932648401826484,0.8825174825174825,0.0,22043.631,0.8245614,0.1896552
2001,Guatemala,0.823840182047779,-1.3469493235591188,0.8863892013498312,0.849931787175989,0.0,758560.25,0.7777778,0.1875
2001,Honduras,0.7810661003896217,-1.2935810423794656,0.9179978700745474,0.9098984771573604,0.0,0.0,0.7966102,0.1833333
2001,Mexico,-0.29717281260024053,-0.08532784410893918,0.7475409836065574,0.8146853146853147,0.0,2332734.8108,0.8676471,0.1323529
2001,Nicaragua,0.3898537108474834,-0.910058972706441,0.9281997918834548,0.8314977973568282,0.0,23340.3148,0.578125,0.2461538
2001,Panama,0.11349548127436673,-0.27925076386868436,0.8110749185667753,0.5975903614457831,0.0,0.0,0.8333333,0.1940299
2001,Paraguay,0.930458499949896,-1.4447292101874891,0.8494623655913979,0.897029702970297,0.0,23340.316,0.7230769,0.1969697
2001,Peru,-0.5752884741259052,0.33347966095290676,0.8594847775175644,0.6565656565656566,0.0,3890.0525,0.75,0.1594203
2001,Uruguay,-0.8444523464407327,1.2114499083261732,0.683643486777669,0.68375,0.0,0.0,0.75,0.173913
2001,Venezuela,0.8619988822081555,-1.4771905410548969,0.7756286266924565,0.7862281603288798,0.0,7780.105,0.8382353,0.1323529
2002,Argentina,-0.104186306173141,-0.45570451233148,0.4174843889384478,0.6702127659574468,0.0,257920.02,0.7083333,0.1733333
2002,Bolivia,-0.144315220662715,-0.768264579530104,0.6460481099656358,0.7875816993464052,0.0,62454952.0,0.8333333,0.1733333
2002,Brazil,-0.106179924267725,-0.199862710307647,0.5931642778390298,0.6797297297297298,0.0,1064877.7,0.8472222,0.16
2002,Chile,-0.014529680694757,1.34329684785333,0.7388591800356507,0.7762096774193549,0.0,117468.515,0.8194444,0.1733333
2002,Colombia,-0.550593878513715,-0.11164057984072,0.8788159111933395,0.8567741935483871,0.0,550314.491,0.8142857,0.1506849
2002,Costa Rica,-0.170485300350096,0.7663838549925,0.9086021505376344,0.8709677419354839,0.0,2694114.935,0.7971014,0.1666667
2002,Ecuador,-0.201829980520767,-0.935504838887979,0.8916382252559727,0.8722334004024145,440194.43948991504,15453494.12,0.8450704,0.1621622
2002,El Salvador,-0.240881360244072,-0.868687344829274,0.9209401709401708,0.875945537065053,0.0,1416006.39,0.8412698,0.1818182
2002,Guatemala,0.0810277867193371,-1.38662828302083,0.8693790149892934,0.7874617737003058,0.0,0.0,0.7538462,0.1764706
2002,Honduras,0.0177593206175636,-1.38017911821846,0.9372384937238494,0.863031914893617,0.0,0.0,0.8115942,0.1805556
2002,Mexico,-0.317726495750706,-0.238001339447299,0.6444256756756757,0.73224043715847,0.0,4293985.1454,0.875,0.1351351
2002,Nicaragua,-0.138923046129301,-1.074231109377,0.8973821989528796,0.7837837837837838,0.0,801850.35,0.8135593,0.1774194
2002,Panama,-0.045455657537088,-0.345748888364329,0.9574468085106383,0.7104247104247104,0.0,1170854.8,0.8309859,0.1486486
2002,Paraguay,-0.0657502782278528,-1.59620720705153,0.7244367417677643,0.8392484342379958,0.0,0.0,0.8472222,0.16
2002,Peru,-0.479006610321188,-0.0939322098295808,0.8290293855743545,0.747086247086247,0.0,1151702.265,0.7571429,0.1643836
2002,Uruguay,-0.17293353594667,1.12743124980449,0.5750736015701668,0.6917808219178082,0.0,0.0,0.7638889,0.16
2002,Venezuela,-0.02854336622653586,-1.6088813229343368,0.7704315886134068,0.6839872746553552,188061581.144243,331976.28,0.8591549,0.1232877
2003,Argentina,-0.0361955335664189,-0.60122498455557,0.3257713248638838,0.6948640483383686,0.0,328072.02699999994,0.6933333,0.1842105
2003,Bolivia,-0.161023705710713,-0.746407313171506,0.5364298724954463,0.75,66011.6930572473,1015520.6562,0.8378378,0.1866667
2003,Brazil,-0.137155708171803,-0.221040400719151,0.546112115732369,0.7092511013215859,0.0,787623.2853999999,0.84,0.1578947
2003,Chile,-0.067703497981847,1.30712346861924,0.6035398230088496,0.6825232678386763,0.0,110192.127,0.8,0.1842105
2003,Colombia,-0.474289137351058,-0.068164509690896,0.7604735883424408,0.744807121661721,500046.38674934,144001.0805,0.8219178,0.1621622
2003,Costa Rica,-0.17564263130366,0.76441359653565,0.8134328358208955,0.7808441558441559,0.0,0.0,0.72,0.1842105
2003,Ecuador,-0.135515555317529,-0.94510991917308,0.7092013888888888,0.7070393374741201,0.0,437011.97,0.8783784,0.16
2003,El Salvador,-0.200450844422953,-0.842989055682077,0.8817204301075269,0.7504553734061931,0.0,5539658.85,0.7462687,0.1764706
2003,Guatemala,0.0703608396145363,-1.39410873055498,0.8580097087378641,0.7825342465753424,0.0,712492.3,0.7066667,0.1578947
